date,open,high,low,close,volume,amount,symbol
2024-01-02,4.16,4.26,4.15,4.25,6494968,27407565.0,000720.SZ
2024-01-03,4.26,4.3,4.22,4.28,4827400,20577368.0,000720.SZ
2024-01-04,4.26,4.29,4.24,4.27,4125019,17612653.13,000720.SZ
2024-01-05,4.29,4.35,4.23,4.25,4567200,19597129.0,000720.SZ
2024-01-08,4.25,4.29,4.18,4.18,4955811,20919288.52,000720.SZ
2024-01-09,4.19,4.25,4.17,4.24,5657588,23849887.24,000720.SZ
2024-01-10,4.24,4.26,4.17,4.23,3886211,16416330.62,000720.SZ
2024-01-11,4.25,4.27,4.2,4.21,4326219,18308945.99,000720.SZ
2024-01-12,4.22,4.31,4.21,4.24,4959100,21138268.0,000720.SZ
2024-01-15,4.24,4.26,4.19,4.25,4056701,17183030.88,000720.SZ
2024-01-16,4.26,4.28,4.1,4.16,6362600,26520486.0,000720.SZ
2024-01-17,4.14,4.16,4.03,4.04,6918200,28484047.0,000720.SZ
2024-01-18,4.05,4.06,3.81,3.94,9038500,35240198.0,000720.SZ
2024-01-19,3.96,3.96,3.88,3.9,4960910,19362332.9,000720.SZ
2024-01-22,3.9,3.91,3.63,3.68,6977500,26390760.9,000720.SZ
2024-01-23,3.69,3.73,3.57,3.71,7646043,27965100.04,000720.SZ
2024-01-24,3.75,3.83,3.65,3.82,7131900,26717850.0,000720.SZ
2024-01-25,3.85,3.99,3.8,3.99,6325700,24677130.0,000720.SZ
2024-01-26,4.05,4.39,4.05,4.39,39397693,170271629.28,000720.SZ
2024-01-29,4.28,4.65,4.21,4.24,47564965,206997712.31,000720.SZ
2024-01-30,4.06,4.25,4.03,4.05,29235233,121174658.32,000720.SZ
2024-01-31,4.06,4.13,3.68,3.7,20712521,79673278.81,000720.SZ
2024-02-01,3.7,3.7,3.48,3.6,13994600,50056457.0,000720.SZ
2024-02-02,3.6,3.61,3.24,3.34,14766101,50079427.33,000720.SZ
2024-02-05,3.27,3.31,3.01,3.01,12403800,37870028.0,000720.SZ
2024-02-06,2.95,3.0,2.71,2.8,17592005,49428305.01,000720.SZ
2024-02-07,2.84,2.88,2.59,2.66,20017325,54764755.16,000720.SZ
2024-02-08,2.64,2.86,2.57,2.85,13608520,37009046.4,000720.SZ
2024-02-19,2.86,3.14,2.85,3.14,6462604,19953123.56,000720.SZ
2024-02-20,3.36,3.44,3.03,3.37,26331480,87699557.44,000720.SZ
2024-02-21,3.36,3.47,3.31,3.38,15616729,53213816.07,000720.SZ
2024-02-22,3.35,3.56,3.35,3.45,13607104,46986988.7,000720.SZ
2024-02-23,3.44,3.69,3.41,3.68,13844502,49742597.14,000720.SZ
2024-02-26,3.5,4.04,3.31,3.85,57883854,200749614.59,000720.SZ
2024-02-27,3.6,3.75,3.54,3.68,41553607,151686472.71,000720.SZ
2024-02-28,3.64,3.71,3.41,3.43,25881320,93302031.6,000720.SZ
2024-02-29,3.38,3.48,3.36,3.47,14292026,49085957.53,000720.SZ
2024-03-01,3.46,3.49,3.42,3.44,10289110,35457052.2,000720.SZ
2024-03-04,3.44,3.45,3.32,3.34,12655771,42456548.43,000720.SZ
2024-03-05,3.34,3.37,3.24,3.25,12829289,42336728.7,000720.SZ
2024-03-06,3.25,3.42,3.24,3.34,10978551,36506139.08,000720.SZ
2024-03-07,3.42,3.42,3.31,3.32,6964700,23388074.0,000720.SZ
2024-03-08,3.32,3.35,3.28,3.33,4845711,16061277.63,000720.SZ
2024-03-11,3.33,3.65,3.33,3.56,19936410,69830382.2,000720.SZ
2024-03-12,3.58,3.6,3.48,3.54,10521222,37104631.67,000720.SZ
2024-03-13,3.55,3.59,3.48,3.56,7922400,28097311.0,000720.SZ
2024-03-14,3.55,3.56,3.46,3.49,7634040,26689927.6,000720.SZ
2024-03-15,3.48,3.5,3.42,3.47,8420100,29126432.0,000720.SZ
2024-03-18,3.48,3.52,3.41,3.45,14567995,50202389.3,000720.SZ
2024-03-19,3.45,3.48,3.42,3.42,9891801,34062065.45,000720.SZ
2024-03-20,3.41,3.48,3.36,3.47,8064386,27779871.27,000720.SZ
2024-03-21,3.47,3.49,3.42,3.48,8047202,27883553.94,000720.SZ
2024-03-22,3.48,3.49,3.33,3.38,12127802,41029072.78,000720.SZ
2024-03-25,3.36,3.42,3.33,3.34,7836700,26449269.0,000720.SZ
2024-03-26,3.35,3.36,3.28,3.34,7399250,24578574.5,000720.SZ
2024-03-27,3.33,3.36,3.2,3.21,7599300,25007861.0,000720.SZ
2024-03-28,3.2,3.33,3.18,3.28,6240972,20401187.77,000720.SZ
2024-03-29,3.3,3.33,3.24,3.29,6306655,20719251.85,000720.SZ
2024-04-01,3.3,3.42,3.3,3.41,8251674,27736852.92,000720.SZ
2024-04-02,3.43,3.45,3.39,3.43,7742163,26512733.37,000720.SZ
2024-04-03,3.43,3.44,3.32,3.35,6453509,21701191.13,000720.SZ
2024-04-08,3.38,3.38,3.22,3.23,9137009,29869993.7,000720.SZ
2024-04-09,3.24,3.27,3.2,3.26,5412600,17565101.0,000720.SZ
2024-04-10,3.25,3.27,3.14,3.17,6643100,21168643.99,000720.SZ
2024-04-11,3.16,3.27,3.13,3.23,5696243,18344034.03,000720.SZ
2024-04-12,3.26,3.27,3.18,3.18,4594500,14775746.0,000720.SZ
2024-04-15,3.19,3.19,2.86,2.86,16698000,49683902.0,000720.SZ
2024-04-16,2.86,2.87,2.58,2.59,18903001,50111779.61,000720.SZ
2024-04-17,2.63,2.85,2.62,2.85,10292300,28663555.0,000720.SZ
2024-04-18,2.97,2.98,2.85,2.88,14706320,42810210.8,000720.SZ
2024-04-19,2.88,2.92,2.79,2.8,10694801,30418050.84,000720.SZ
2024-04-22,2.84,2.84,2.71,2.73,8240000,22867357.0,000720.SZ
2024-04-23,2.76,2.77,2.71,2.75,7894601,21638804.75,000720.SZ
2024-04-24,2.8,2.82,2.72,2.82,7729866,21478189.25,000720.SZ
