date,open,high,low,close,volume,amount,symbol
2024-01-02,4.15,4.27,4.12,4.13,215914550,903350903.84,002031.SZ
2024-01-03,4.1,4.22,4.07,4.17,188065593,778493936.13,002031.SZ
2024-01-04,4.13,4.15,4.03,4.05,140056732,570869127.58,002031.SZ
2024-01-05,4.08,4.11,3.9,3.94,144204938,575543388.39,002031.SZ
2024-01-08,3.88,3.93,3.84,3.84,90006694,349269709.81,002031.SZ
2024-01-09,3.85,4.06,3.85,3.93,140700179,556840066.85,002031.SZ
2024-01-10,3.89,3.91,3.8,3.8,108002451,413771105.05,002031.SZ
2024-01-11,3.79,3.9,3.74,3.87,95860494,367488212.74,002031.SZ
2024-01-12,3.84,3.88,3.79,3.79,73319732,280442462.87,002031.SZ
2024-01-15,3.78,3.79,3.71,3.71,71850676,269043100.56,002031.SZ
2024-01-16,3.71,3.74,3.59,3.65,99140746,360994169.12,002031.SZ
2024-01-17,3.63,3.7,3.51,3.58,110684664,397027658.14,002031.SZ
2024-01-18,3.54,3.54,3.41,3.52,101788464,353298464.11,002031.SZ
2024-01-19,3.51,3.54,3.42,3.43,56637292,197104262.4,002031.SZ
2024-01-22,3.43,3.48,3.23,3.32,81016354,275214294.05,002031.SZ
2024-01-23,3.31,3.39,3.26,3.35,66020826,220977721.3,002031.SZ
2024-01-24,3.37,3.44,3.32,3.44,81661926,277326165.52,002031.SZ
2024-01-25,3.45,3.5,3.39,3.49,85044142,294335214.84,002031.SZ
2024-01-26,3.48,3.55,3.45,3.45,75893029,264521164.61,002031.SZ
2024-01-29,3.47,3.48,3.33,3.34,60942273,206117936.74,002031.SZ
2024-01-30,3.33,3.4,3.28,3.31,53316560,178180547.0,002031.SZ
2024-01-31,3.35,3.38,3.23,3.27,69469442,229544332.65,002031.SZ
2024-02-01,3.3,3.6,3.27,3.5,219824106,769657143.02,002031.SZ
2024-02-02,3.42,3.5,3.24,3.41,173571878,588380593.0,002031.SZ
2024-02-05,3.34,3.37,3.07,3.07,127153826,402307826.39,002031.SZ
2024-02-06,2.95,3.25,2.77,3.17,115229254,348004539.59,002031.SZ
2024-02-07,3.16,3.27,3.11,3.15,95918651,306730206.36,002031.SZ
2024-02-08,3.16,3.35,3.15,3.31,116677067,379232228.63,002031.SZ
2024-02-19,3.35,3.48,3.3,3.41,118200569,400821260.94,002031.SZ
2024-02-20,3.39,3.48,3.32,3.46,115179171,393521108.2,002031.SZ
2024-02-21,3.4,3.7,3.38,3.52,189662148,673429262.85,002031.SZ
2024-02-22,3.45,3.57,3.44,3.56,135216655,477008022.67,002031.SZ
2024-02-23,3.54,3.75,3.52,3.75,230853262,840222164.54,002031.SZ
2024-02-26,3.98,4.08,3.81,3.84,309826057,1213367302.19,002031.SZ
2024-02-27,3.83,3.97,3.77,3.92,210544172,818771504.5,002031.SZ
2024-02-28,3.91,3.97,3.55,3.59,255807742,971155616.68,002031.SZ
2024-02-29,3.53,3.72,3.53,3.72,143135797,524281017.98,002031.SZ
2024-03-01,3.72,3.77,3.67,3.74,124590237,463504202.32,002031.SZ
2024-03-04,3.71,3.92,3.63,3.86,206391481,782260348.11,002031.SZ
2024-03-05,3.8,3.82,3.72,3.74,121650568,457635148.3,002031.SZ
2024-03-06,3.72,3.89,3.7,3.87,196861173,753140434.61,002031.SZ
2024-03-07,3.9,3.95,3.77,3.78,171407623,660434741.49,002031.SZ
2024-03-08,3.73,3.91,3.68,3.82,151664181,576861239.32,002031.SZ
2024-03-11,3.76,3.88,3.74,3.85,114442834,435690693.21,002031.SZ
2024-03-12,3.85,3.96,3.82,3.92,213192000,831147151.1,002031.SZ
2024-03-13,3.9,3.91,3.84,3.85,136412411,527613668.7,002031.SZ
2024-03-14,3.85,3.93,3.75,3.82,113226838,433707403.6,002031.SZ
2024-03-15,3.79,3.96,3.77,3.95,218473768,852259486.73,002031.SZ
2024-03-18,3.98,3.99,3.92,3.95,171392683,677498925.17,002031.SZ
2024-03-19,3.94,4.03,3.89,3.91,168297003,664279338.65,002031.SZ
2024-03-20,3.88,3.93,3.86,3.91,98391450,382700410.01,002031.SZ
2024-03-21,3.9,3.92,3.83,3.86,90702806,351179754.94,002031.SZ
2024-03-22,3.84,3.87,3.73,3.78,120829532,457135568.89,002031.SZ
2024-03-25,3.76,3.8,3.66,3.66,97618291,364290800.75,002031.SZ
2024-03-26,3.65,3.69,3.55,3.62,85842991,310516898.82,002031.SZ
2024-03-27,3.62,3.62,3.43,3.44,82788414,291266006.28,002031.SZ
2024-03-28,3.41,3.57,3.41,3.53,72886732,256283029.13,002031.SZ
2024-03-29,3.54,3.56,3.47,3.55,55048737,193955674.6,002031.SZ
2024-04-01,3.56,3.61,3.55,3.6,55876565,200445150.28,002031.SZ
2024-04-02,3.6,3.61,3.53,3.56,51352174,182821474.4,002031.SZ
2024-04-03,3.55,3.55,3.45,3.47,49508178,172422805.29,002031.SZ
2024-04-08,3.47,3.53,3.44,3.49,47114974,164023819.63,002031.SZ
2024-04-09,3.5,3.51,3.46,3.49,33414289,116451018.52,002031.SZ
2024-04-10,3.46,3.51,3.34,3.38,58242070,200340031.3,002031.SZ
2024-04-11,3.43,3.54,3.43,3.45,62194070,216694741.62,002031.SZ
