observation_id,observation_family,observation_level,observation_status,source_observation_id,source_candidate_id,symbol,timeframe,session_id,session_timezone,prior_session_local_date,next_session_local_date,second_next_session_local_date,first_break_direction,first_break_mode,prior_or_break_edge_value,second_next_session_open_utc,second_next_session_first_bar_open,second_next_session_first_bar_close,second_next_session_first_30m_bar_count,second_next_session_first_bar_expected_side,second_next_session_first_30m_all_closes_expected_side,second_next_session_first_30m_any_close_opposite_or_at_boundary,observation_scope
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-19|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-19|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-19|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-19,2021-07-20,2021-07-21,down,close,1.37025,2021-07-21T13:30:00Z,1.36245,1.36224,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-22|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-22|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-22|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-22,2021-07-23,2021-07-24,up,close,1.37153,2021-07-24T07:00:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-26|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-26|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-26|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-26,2021-07-27,2021-07-28,up,close,1.37486,2021-07-28T07:00:00Z,1.38738,1.38746,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-28|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-28|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-28|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-28,2021-07-29,2021-07-30,up,wick,1.38808,2021-07-30T13:30:00Z,1.39686,1.39754,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-29|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-29|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-29|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-29,2021-07-30,2021-07-31,up,wick,1.39285,2021-07-31T07:00:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-02|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-02|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-02|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-02,2021-08-03,2021-08-04,down,wick,1.38979,2021-08-04T07:00:00Z,1.39244,1.39257,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-03|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-03|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-03|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-03,2021-08-04,2021-08-05,up,wick,1.38980,2021-08-05T07:00:00Z,1.38901,1.38908,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-09|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-09|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-09|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-09,2021-08-10,2021-08-11,down,wick,1.38784,2021-08-11T13:30:00Z,1.38079,1.38106,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-10|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-10|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-10|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-10,2021-08-11,2021-08-12,down,close,1.38459,2021-08-12T07:00:00Z,1.38736,1.38726,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-12|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-12|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-12|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-12,2021-08-13,2021-08-14,down,close,1.38722,2021-08-14T07:00:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_or
