observation_id,observation_family,observation_level,observation_status,source_outcome_shell_id,source_confirmed_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,cross_trigger_price,ib_same_side_edge_value,bars_after_cross_count,return_inside_ib_observed_same_day,first_return_inside_ib_bar_time_utc,max_extension_price_same_day,max_extension_distance_over_ib,session_close_price,session_close_beyond_ib,observation_scope
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-19,up,close,2021-11-19T15:30:00Z,1.34494,1.34479,33,1,2021-11-19T15:45:00Z,1.34744,0.00265,1.34423,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-23|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-23|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-23,down,close,2021-11-23T09:00:00Z,1.3381,1.33815,59,1,2021-11-23T09:15:00Z,1.33415,0.00400,1.3378,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-25,up,wick,2021-11-25T17:15:00Z,1.33209,1.33178,46,1,2021-11-25T17:30:00Z,1.33314,0.00136,1.33023,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-20|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-20|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-20|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-20,down,close,2021-12-20T09:00:00Z,1.32106,1.32159,59,1,2021-12-20T14:45:00Z,1.31727,0.00432,1.32083,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-23,down,close,2021-12-23T15:30:00Z,1.34161,1.34183,53,1,2021-12-23T16:00:00Z,1.33935,0.00248,1.34063,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-27,down,wick,2021-12-27T09:15:00Z,1.33936,1.33949,58,1,2021-12-27T09:30:00Z,1.33921,0.00028,1.34435,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,no_return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-04,up,close,2022-01-04T09:30:00Z,1.34731,1.34696,57,0,,1.35569,0.00873,1.35263,1,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-10,up,close,2022-01-10T09:00:00Z,1.35871,1.35863,59,1,2022-01-10T09:15:00Z,1.36031,0.00168,1.35795,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-10,down,close,2022-01-10T15:30:00Z,1.3556,1.35637,53,1,2022-01-10T17:45:00Z,1.35315,0.00322,1.35867,0,same_local_date_after_confirmed_cross
IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,IB_OR_POST_CROSS_PATH_OBSERVATION,RELATION_P0,return_inside_ib_observed_same_day,IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-13,up,close,2022-01-13T15:45:00Z,1.37378,1.37345,52,1,2022-01-13T16:00:00Z,1.37478,0.00133,1.37241,0,same_local_date_after_confirmed_cross
