evidence_id,evidence_family,evidence_level,evidence_status,source_relative_id,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,upstream_first_break_direction,upstream_first_break_mode,first_break_direction,first_break_mode,direction_mode_match_to_relation,break_bar_time_utc,break_bar_open,break_bar_high,break_bar_low,break_bar_close,or_break_edge_value,ib_same_side_edge_value,break_trigger_price,break_trigger_source,same_side_gap_to_ib_before_break,ib_same_side_cross_confirmed,ib_same_side_cross_direction,ib_same_side_cross_distance,requires_break_price_for_ib_confirmation_before,requires_break_price_for_ib_confirmation_after,evidence_scope,width_error_day
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-20|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|EURUSD|M1|new_york|2026-05-20|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-20,60,30,up,close,up,close,1,2026-05-20T14:35:00Z,1.16024,1.16038,1.16022,1.16035,1.16029,1.16029,1.16035,close,0.00000,1,up,0.00006,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-05-21|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-05-21|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-05-21,60,30,up,close,up,close,1,2026-05-21T07:50:00Z,1.16214,1.1623,1.16214,1.16229,1.16217,1.16236,1.16229,close,0.00019,0,up,-0.00007,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-21|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-05-21|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-21,60,30,up,close,up,close,1,2026-05-21T14:21:00Z,1.16116,1.16148,1.16114,1.16138,1.16135,1.16160,1.16138,close,0.00025,0,up,-0.00022,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-05-22|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-05-22|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-05-22,60,30,up,wick,up,wick,1,2026-05-22T07:53:00Z,1.16145,1.16151,1.16145,1.1615,1.16150,1.16155,1.16151,high,0.00005,0,up,-0.00004,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-22|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-05-22|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-22,60,30,down,close,down,close,1,2026-05-22T14:01:00Z,1.1596,1.15961,1.15945,1.15945,1.15952,1.15934,1.15945,close,0.00018,0,down,-0.00011,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-05-25|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-05-25|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-05-25,60,30,up,close,up,close,1,2026-05-25T07:31:00Z,1.16371,1.16388,1.16371,1.16388,1.16376,1.16438,1.16388,close,0.00062,0,up,-0.00050,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-25|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-05-25|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-25,60,30,down,close,down,close,1,2026-05-25T14:05:00Z,1.16417,1.16418,1.16412,1.16412,1.16414,1.16402,1.16412,close,0.00012,0,down,-0.00010,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-05-26|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-05-26|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-05-26,60,30,down,close,down,close,1,2026-05-26T07:30:00Z,1.16332,1.16333,1.16329,1.16329,1.16332,1.16293,1.16329,close,0.00039,0,down,-0.00036,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-26|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|EURUSD|M1|new_york|2026-05-26|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-26,60,30,down,close,down,close,1,2026-05-26T14:35:00Z,1.16392,1.16403,1.16358,1.16361,1.16377,1.16377,1.16361,close,0.00000,1,down,0.00016,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-05-27|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-05-27|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-05-27,60,30,up,wick,up,wick,1,2026-05-27T07:33:00Z,1.16402,1.1641,1.164,1.16408,1.16409,1.16424,1.1641,high,0.00015,0,up,-0.00014,1,0,first_break_bar_level,0
