evidence_id,evidence_family,evidence_level,evidence_status,source_relative_id,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,upstream_first_break_direction,upstream_first_break_mode,first_break_direction,first_break_mode,direction_mode_match_to_relation,break_bar_time_utc,break_bar_open,break_bar_high,break_bar_low,break_bar_close,or_break_edge_value,ib_same_side_edge_value,break_trigger_price,break_trigger_source,same_side_gap_to_ib_before_break,ib_same_side_cross_confirmed,ib_same_side_cross_direction,ib_same_side_cross_distance,requires_break_price_for_ib_confirmation_before,requires_break_price_for_ib_confirmation_after,evidence_scope,width_error_day
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-22|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-22|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-22,60,30,up,wick,up,wick,1,2021-12-22T15:15:00Z,1.33104,1.33154,1.33079,1.33119,1.33149,1.33154,1.33154,high,0.00005,0,up,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-23|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-12-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-23,60,30,up,wick,up,wick,1,2021-12-23T08:30:00Z,1.33508,1.3354,1.33498,1.33529,1.33531,1.33540,1.3354,high,0.00009,0,up,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-23,60,30,down,close,down,close,1,2021-12-23T15:30:00Z,1.34239,1.34263,1.34144,1.34161,1.34183,1.34183,1.34161,close,0.00000,1,down,0.00022,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-24|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-12-24|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-24,60,30,up,close,up,close,1,2021-12-24T08:30:00Z,1.33902,1.34003,1.33878,1.33942,1.33929,1.34044,1.33942,close,0.00115,0,up,-0.00102,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-24|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-24,60,30,down,wick,down,wick,1,2021-12-24T15:00:00Z,1.34157,1.34181,1.33995,1.34115,1.34107,1.33995,1.33995,low,0.00112,0,down,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-27,60,30,down,wick,down,wick,1,2021-12-27T09:15:00Z,1.33961,1.33961,1.33936,1.33949,1.33949,1.33949,1.33936,low,0.00000,1,down,0.00013,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-27|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-27|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-27,60,30,up,wick,up,wick,1,2021-12-27T15:00:00Z,1.34126,1.34139,1.34099,1.34131,1.34134,1.34174,1.34139,high,0.00040,0,up,-0.00035,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-28|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-12-28|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-28,60,30,up,wick,up,wick,1,2021-12-28T08:30:00Z,1.34343,1.34376,1.34343,1.34363,1.34367,1.34376,1.34376,high,0.00009,0,up,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-28|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-28|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-28,60,30,up,close,up,close,1,2021-12-28T15:15:00Z,1.34477,1.34571,1.34459,1.34563,1.34529,1.34571,1.34563,close,0.00042,0,up,-0.00008,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-29|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-12-29|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-29,60,30,down,close,down,close,1,2021-12-29T08:30:00Z,1.34287,1.34293,1.34254,1.34254,1.34266,1.34194,1.34254,close,0.00072,0,down,-0.00060,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-29|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-29|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-29,60,30,up,close,up,close,1,2021-12-29T15:00:00Z,1.34262,1.34366,1.34231,1.34366,1.34331,1.34462,1.34366,close,0.00131,0,up,-0.00096,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-30|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-12-30|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-30,60,30,down,close,down,close,1,2021-12-30T08:30:00Z,1.34753,1.34759,1.34716,1.34746,1.34750,1.34716,1.34746,close,0.00034,0,down,-0.00030,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-30|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-30,60,30,up,wick,up,wick,1,2021-12-30T15:00:00Z,1.35154,1.35163,1.3501,1.35091,1.35154,1.35163,1.35163,high,0.00009,0,up,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-31|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-12-31|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-31,60,30,up,close,up,close,1,2021-12-31T08:45:00Z,1.34982,1.35043,1.34982,1.35038,1.34985,1.35043,1.35038,close,0.00058,0,up,-0.00005,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-31|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-31|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-31,60,30,down,wick,down,wick,1,2021-12-31T15:00:00Z,1.34818,1.34844,1.34751,1.34778,1.34773,1.34676,1.34751,low,0.00097,0,down,-0.00075,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-03|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2022-01-03|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-03,60,30,up,close,up,close,1,2022-01-03T08:30:00Z,1.34999,1.35058,1.34996,1.35029,1.35028,1.35073,1.35029,close,0.00045,0,up,-0.00044,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-03|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-03|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-03,60,30,down,close,down,close,1,2022-01-03T15:00:00Z,1.35051,1.35062,1.34946,1.34955,1.35003,1.34899,1.34955,close,0.00104,0,down,-0.00056,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-04,60,30,up,close,up,close,1,2022-01-04T09:30:00Z,1.34658,1.34731,1.34656,1.34731,1.34696,1.34696,1.34731,close,0.00000,1,up,0.00035,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-04|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-04|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-04,60,30,up,wick,up,wick,1,2022-01-04T15:00:00Z,1.3482,1.34892,1.3482,1.34872,1.34872,1.34983,1.34892,high,0.00111,0,up,-0.00091,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-05|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2022-01-05|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-05,60,30,up,close,up,close,1,2022-01-05T08:30:00Z,1.35287,1.35344,1.35287,1.3533,1.35322,1.35344,1.3533,close,0.00022,0,up,-0.00014,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-05|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-05|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-05,60,30,up,close,up,close,1,2022-01-05T15:00:00Z,1.35405,1.35476,1.3538,1.35458,1.35424,1.35476,1.35458,close,0.00052,0,up,-0.00018,1,0,first_break_bar_level,0
