candidate_id,candidate_family,candidate_level,candidate_status,source_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,first_break_direction,first_break_mode,break_bar_time_utc,break_trigger_price,or_break_edge_value,ib_same_side_edge_value,same_side_gap_to_ib_before_break,bars_after_break_count,return_inside_or_observed_same_day,first_return_inside_or_bar_time_utc,max_extension_price_same_day,max_extension_distance_over_or,session_close_price,session_close_beyond_or,observation_scope
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-24|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-24|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-24,up,close,2021-08-24T07:30:00Z,1.37233,1.37202,1.37252,0.00050,61,1,2021-08-24T10:30:00Z,1.37472,0.00270,1.37307,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-24|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-24,down,close,2021-08-24T14:00:00Z,1.37161,1.37165,1.37119,0.00046,55,1,2021-08-24T14:15:00Z,1.3706,0.00105,1.3719,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-26|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-26|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-26,up,close,2021-08-26T07:30:00Z,1.37584,1.37574,1.37585,0.00011,61,1,2021-08-26T07:45:00Z,1.37584,0.00010,1.3699,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-26|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-26|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-26,down,wick,2021-08-26T14:00:00Z,1.37315,1.37369,1.37315,0.00054,55,1,2021-08-26T14:15:00Z,1.36795,0.00574,1.36822,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-27|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-27,up,close,2021-08-27T07:45:00Z,1.37003,1.36988,1.37006,0.00018,60,1,2021-08-27T08:00:00Z,1.37804,0.00816,1.37627,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-27|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-27|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-27,up,close,2021-08-27T14:15:00Z,1.37128,1.37106,1.37139,0.00033,38,1,2021-08-27T16:00:00Z,1.37804,0.00698,1.37604,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-30|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-30|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-30,up,wick,2021-08-30T07:30:00Z,1.37703,1.37702,1.37704,0.00002,61,1,2021-08-30T07:45:00Z,1.37744,0.00042,1.37595,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-30|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-30,down,wick,2021-08-30T14:00:00Z,1.37493,1.37501,1.37481,0.00020,55,1,2021-08-30T14:15:00Z,1.37333,0.00168,1.3762,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-31|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-31|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-31,up,close,2021-08-31T14:15:00Z,1.37832,1.37790,1.37857,0.00067,54,1,2021-08-31T15:15:00Z,1.3807,0.00280,1.37368,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-01|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-01|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-01,up,wick,2021-09-01T07:30:00Z,1.3738,1.37379,1.37380,0.00001,61,1,2021-09-01T07:45:00Z,1.37977,0.00598,1.37688,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-01|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-01|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-01,up,wick,2021-09-01T14:00:00Z,1.37624,1.37613,1.37624,0.00011,55,1,2021-09-01T14:15:00Z,1.37977,0.00364,1.37742,1,same_local_date_after_or_break_only
