lifted_rel_path	category	proposed_target_rel_path	size_bytes	sha256
tools/tk_r2_pocket_shrink.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r2_pocket_shrink.py	4741	c0825ea4c1a538fbd9243c5f78e0ae46b35de25291ca7fa2cc10f041de2fd1e2
tools/tk_r2_tradelevel_audit.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r2_tradelevel_audit.py	10670	ab8c2827c4c53bc29106a12480609bc8de2ccbd10e31538feaf56693660a8a5b
tools/tk_r3_rr_minwin_audit.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r3_rr_minwin_audit.py	11145	d1b9a304a5678f4b3c2ce5ae70c7dd9f032648c81b0ce557378be159a45fd42d
tools/tk_r3_rr_minwin_recompute_cam_tp3.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r3_rr_minwin_recompute_cam_tp3.py	10215	230db4e09de0c13fae459d55dd9d483a26e4eb621c5cd2b128a07101c0c85e85
tools/tk_r3_tp3_reason_smoketest.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r3_tp3_reason_smoketest.py	1972	e55a3ab34758e5f78e3e7708eb302f29f9c9bb4113abe43745a1eb2eca565252
tools/tk_r4_half_risk_paper_audit.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r4_half_risk_paper_audit.py	6274	0cfabf156bc6400848107b8fcfa5360af5a213a32b3ed5eaacf305233153c120
tools/tk_r4_risk_corr_audit.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r4_risk_corr_audit.py	11538	51068ec8699b0f7689cc4aaefb5f108ccdfab94e0e7c702e0e2b51b14886eec5
tools/tk_r4_usd_half_risk_role_finalize.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r4_usd_half_risk_role_finalize.py	10507	cf538b5f8f38554c636a8196498746e8bee7666f81e44041392b66a956cf8cb5
tools/tk_r4_usd_half_risk_scheme_b.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r4_usd_half_risk_scheme_b.py	9277	b0cf630a99c06cf3d50329cb1d4c8d36ba536e93c2e88e3cb1a4b1280fec2697
tools/tk_r4_usd_half_risk_scheme_b_runner.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r4_usd_half_risk_scheme_b_runner.py	26844	2871c120a5546a2e86fca19cb752921888dbf76bcee8d8be941bfd93f55fa5a4
tools/tk_r4_usd_overlap_depth_audit.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r4_usd_overlap_depth_audit.py	8512	36516725dc903827ef01a23c14afe4b3089735c19273184032302ec907b1f8d3
tools/tk_r4_usd_overlap_heterogeneity_audit.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r4_usd_overlap_heterogeneity_audit.py	9907	6b37e6a2e91468323e42545d05795664f395d578c28b1625c085ff7690bd1a0c
tools/tk_r4_usd_overlap_negative_pockets.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r4_usd_overlap_negative_pockets.py	10150	3ed16df060aca0fc3e8d01b8f19230909ea72b3963f0a452491b32379adf323c
tools/tk_r6_make_manual_sheet.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r6_make_manual_sheet.py	1324	03de67b2ba2c91cf04dbdf6f3faf884e5fced164a0d64040f6ff1583a91f994f
tools/tk_r6_summarize_manual_sheet.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r6_summarize_manual_sheet.py	2836	ff9fc449f3b3f177d9135b58db5e93d9998918a5f6eb49082ec424edba0dd212
tools/tk_r7_make_manual_sheet.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r7_make_manual_sheet.py	1151	1594171fa539053d648e454294032558f3fb567a346adb25aebf6402b57acc8b
tools/tk_r7_summarize_manual_sheet.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r7_summarize_manual_sheet.py	2082	c20f84b05b872b8a6c91e4ba0948b2a7b609ba825634e5997c9745bcf85fc64c
tools/tk_r8_make_manual_sheet.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r8_make_manual_sheet.py	1189	affe4c6a2ae9556fc20be2b53cf86868de7449b35ed075e9e6a6525d86eb9e79
tools/tk_r8_summarize_manual_sheet.py	tools_unclassified	20_tools_workspace/_raw_snapshot_batch09/tk_r8_summarize_manual_sheet.py	2082	4d5a664dd3f50df965135ec23847597ef32a966f9781c6802308ea065ece2c2e
