bucket_l1	bucket_l2	file_name	source_path	staging_path	source_exists	staging_exists	source_size	staging_size	stage_status
03_券商研报	01_高频微观	20220612-开源证券-市场微观结构研究系列（15）：高频因子，分钟单笔金额序列中的主力行为刻画.pdf	D:\Stock\cut_file\S\03_券商研报\01_高频微观\20220612-开源证券-市场微观结构研究系列（15）：高频因子，分钟单笔金额序列中的主力行为刻画.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v22\03_券商研报\01_高频微观\20220612-开源证券-市场微观结构研究系列（15）：高频因子，分钟单笔金额序列中的主力行为刻画.pdf	1	1	1944677	1944677	COPIED_OR_SYNCED
03_券商研报	01_高频微观	20221118-国金证券-金融工程专题报告：Alpha掘金系列之二，基于高频快照数据的量价背离选股因子.pdf	D:\Stock\cut_file\S\03_券商研报\01_高频微观\20221118-国金证券-金融工程专题报告：Alpha掘金系列之二，基于高频快照数据的量价背离选股因子.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v22\03_券商研报\01_高频微观\20221118-国金证券-金融工程专题报告：Alpha掘金系列之二，基于高频快照数据的量价背离选股因子.pdf	1	1	835466	835466	COPIED_OR_SYNCED
03_券商研报	03_机器学习	华泰人工智能系列40：微软AI量化投资平台Qlib体验.pdf	D:\Stock\cut_file\S\03_券商研报\03_机器学习\华泰人工智能系列40：微软AI量化投资平台Qlib体验.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v22\03_券商研报\03_机器学习\华泰人工智能系列40：微软AI量化投资平台Qlib体验.pdf	1	1	5658211	5658211	COPIED_OR_SYNCED
03_券商研报	03_机器学习	华泰人工智能系列41：基于BERT的分析师研报情感因子.pdf	D:\Stock\cut_file\S\03_券商研报\03_机器学习\华泰人工智能系列41：基于BERT的分析师研报情感因子.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v22\03_券商研报\03_机器学习\华泰人工智能系列41：基于BERT的分析师研报情感因子.pdf	1	1	3437264	3437264	COPIED_OR_SYNCED
03_券商研报	03_机器学习	华泰人工智能系列42：图神经网络选股与Qlib实践.pdf	D:\Stock\cut_file\S\03_券商研报\03_机器学习\华泰人工智能系列42：图神经网络选股与Qlib实践.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v22\03_券商研报\03_机器学习\华泰人工智能系列42：图神经网络选股与Qlib实践.pdf	1	1	3023849	3023849	COPIED_OR_SYNCED
03_券商研报	04_多因子	国盛多因子系列8：日间量价模型研究.pdf	D:\Stock\cut_file\S\03_券商研报\04_多因子\国盛多因子系列8：日间量价模型研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v22\03_券商研报\04_多因子\国盛多因子系列8：日间量价模型研究.pdf	1	1	1435151	1435151	COPIED_OR_SYNCED
03_券商研报	04_多因子	广发多因子系列30：个股配对思想在因子策略中的应用.pdf	D:\Stock\cut_file\S\03_券商研报\04_多因子\广发多因子系列30：个股配对思想在因子策略中的应用.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v22\03_券商研报\04_多因子\广发多因子系列30：个股配对思想在因子策略中的应用.pdf	1	1	2060774	2060774	COPIED_OR_SYNCED
03_券商研报	04_多因子	广发多因子系列34：基于多期限的选股策略研究.pdf	D:\Stock\cut_file\S\03_券商研报\04_多因子\广发多因子系列34：基于多期限的选股策略研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v22\03_券商研报\04_多因子\广发多因子系列34：基于多期限的选股策略研究.pdf	1	1	1296458	1296458	COPIED_OR_SYNCED
