bucket_l1	bucket_l2	file_name	source_path	staging_path	source_exists	staging_exists	source_size	staging_size	stage_status
03_券商研报	01_高频微观	广发高频数据因子研究系列1：基于日内高频数据的短周期选股因子研究.pdf	D:\Stock\cut_file\S\03_券商研报\01_高频微观\广发高频数据因子研究系列1：基于日内高频数据的短周期选股因子研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v29\03_券商研报\01_高频微观\广发高频数据因子研究系列1：基于日内高频数据的短周期选股因子研究.pdf	1	1	2957500	2957500	COPIED_OR_SYNCED
03_券商研报	01_高频微观	广发高频数据因子研究系列3：基于个股羊群效应的选股因子研究.pdf	D:\Stock\cut_file\S\03_券商研报\01_高频微观\广发高频数据因子研究系列3：基于个股羊群效应的选股因子研究.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v29\03_券商研报\01_高频微观\广发高频数据因子研究系列3：基于个股羊群效应的选股因子研究.pdf	1	1	2614237	2614237	COPIED_OR_SYNCED
03_券商研报	03_机器学习	华泰人工智能系列7：人工智能选股Python实战.pdf	D:\Stock\cut_file\S\03_券商研报\03_机器学习\华泰人工智能系列7：人工智能选股Python实战.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v29\03_券商研报\03_机器学习\华泰人工智能系列7：人工智能选股Python实战.pdf	1	1	3524232	3524232	COPIED_OR_SYNCED
03_券商研报	03_机器学习	华泰人工智能系列8：人工智能选股全连接神经网络.pdf	D:\Stock\cut_file\S\03_券商研报\03_机器学习\华泰人工智能系列8：人工智能选股全连接神经网络.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v29\03_券商研报\03_机器学习\华泰人工智能系列8：人工智能选股全连接神经网络.pdf	1	1	2004939	2004939	COPIED_OR_SYNCED
03_券商研报	03_机器学习	华泰人工智能系列9：人工智能选股循环神经网络模型.pdf	D:\Stock\cut_file\S\03_券商研报\03_机器学习\华泰人工智能系列9：人工智能选股循环神经网络模型.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v29\03_券商研报\03_机器学习\华泰人工智能系列9：人工智能选股循环神经网络模型.pdf	1	1	2043088	2043088	COPIED_OR_SYNCED
03_券商研报	04_多因子	星火多因子专题报告1：Barra模型初探，A股市场风格解析.pdf	D:\Stock\cut_file\S\03_券商研报\04_多因子\星火多因子专题报告1：Barra模型初探，A股市场风格解析.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v29\03_券商研报\04_多因子\星火多因子专题报告1：Barra模型初探，A股市场风格解析.pdf	1	1	1931934	1931934	COPIED_OR_SYNCED
03_券商研报	04_多因子	星火多因子专题报告2：Barra模型进阶，多因子模型风险预测.pdf	D:\Stock\cut_file\S\03_券商研报\04_多因子\星火多因子专题报告2：Barra模型进阶，多因子模型风险预测.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v29\03_券商研报\04_多因子\星火多因子专题报告2：Barra模型进阶，多因子模型风险预测.pdf	1	1	2097995	2097995	COPIED_OR_SYNCED
03_券商研报	04_多因子	星火多因子专题报告3：Barra模型深化，纯因子组合构建.pdf	D:\Stock\cut_file\S\03_券商研报\04_多因子\星火多因子专题报告3：Barra模型深化，纯因子组合构建.pdf	D:\Stock\trading_assistant\12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\03_券商研报\representatives_v29\03_券商研报\04_多因子\星火多因子专题报告3：Barra模型深化，纯因子组合构建.pdf	1	1	1767046	1767046	COPIED_OR_SYNCED
